brand, product_name
COLORFUL GTX1050Ti 4G Game Independent Graphics Home Office Graphics Card Lagroom Performance Independent Graphics Card GPU,$399.99 –
MSI Gaming GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 ATX Video Card GTX 1050 Ti GAMING X 4G,$315.97 (15 Offers)–
MSI GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 ATX Video Card GTX 1050 Ti 4GT OC,$279.99 (13 Offers)–
GAINWARD GeForce RTX 2060 WINDFORCE OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| PCI Express 3.0 16X| NVIDIA Chip|Game Graphics Card|1695MH Boost Frequency GPU video card,$729.99 –
GAINWARD GeForce GTX 1050Ti 4GB GDDR5 Gaming Graphics Card|2 x WINDFORCE Fans|4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card|7008MHz Video Memory Frequency|6 Pin Power Interface,$269.99 –
Biostar Gaming Radeon RX 550 4GB GDDR5 128-Bit DirectX 12 PCI Express 3.0 DVI-D Dual Link| HDMI| DisplayPort,$191.10 –
PowerColor Red Dragon RX 550 2GB GDDR5 Graphics Card (AXRX-550-2GBD5-DH),$159.99 –
GIGABYTE AORUS GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060AORUS E-12GD (rev. 2.0),$834.99 (4 Offers)–
MSI Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card RTX 3070 Ti Gaming X Trio 8G,$1351.99 (5 Offers)–
ASRock Challenger D Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 Video Card RX6700XT CLD 12GO,$919.99 (2 Offers)–
GIGABYTE Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060GAMING OC-12GD (rev. 2.0),$832.99 (4 Offers)–
GAINWARD GeForce GTX 1050Ti 4GB GDDR5 Gaming Graphics Card|2 x WINDFORCE Fans|4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card|7008MHz Video Memory Frequency|Support PCI Express 3.0,$275.00 –
GPU Miner Mining rig Machine System for Mining ETH Ethereum|8 GPU Miner Including 55mm Slots Distance Motherboard| CPU| SSD| RAM|PSU| Case with 4 Cooling Fans(Without GPU),$899.00 –
Mining Rig Frame 8 Port GPU Case with 4 Cooling Fans| Mining Barebone Motherboard (Without GPU) for BTC/ETH/ZEC Miner Machine System with CPU,$499.99 –
Case Fans  DIY Mining Frame Rig Case Mining Frame For 6-10 GPU Mining SUPPORT LENGTH TO 330MM SUPPORT 2 ATX PSU ssdx+HDDX1 Crypto Currency Rigs Miner Without Fan,$145.00 –
ASUS TUF Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card TUF-RTX3080TI-O12G-GAMING,$2107.99 (9 Offers)–
ASUS TUF Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card TUF-RTX3070TI-O8G-GAMING,$1394.99 (4 Offers)–
MSI RTX 2060 GAMING Z 6G GeForce RTX 2060 6GB GDDR6 PCI Express 3.0 x16 Video Card RTX 2060 GAMING Z 6G,$768.96 (14 Offers)–
CORN GTX 1050Ti 128-Bit 4GB GDDR5 Graphic 6Pin Card with dual fans DirectX12 Video Card GPU PCI Express 3.0 VGA/DVI-D/HDMI|Play for Apex|LOL|PUBG|OW|War Thunder etc.,$349.99 (1 Offers)–
MSI Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 3080 Ti Gaming X Trio 12G,$2069.88 (9 Offers)–
GIGABYTE AORUS GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TAORUS M-8GD,$1424.99 (4 Offers)–
MSI Ventus GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card RTX 3070 Ti Ventus 3X 8G OC,$1394.99 (3 Offers)–
PowerColor Red Devil AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory| Powered by AMD RDNA 2| HDMI 2.1 (AXRX 6700XT 12GBD6-3DHE/OC),$1191.35 (8 Offers)–
MSI Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti Gaming X 8G LHR,$954.99 (4 Offers)–
Sapphire Nitro+ AMD Radeon RX 6700 XT Gaming OC 12GB GDDR6 HDMI / Triple DP (11306-01-20G),$939.99 (6 Offers)–
GIGABYTE Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TGAMING OC-12GD,$1984.99 (4 Offers)–
ZOTAC AMP Holo GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card ZT-A30810F-10P,$1899.99 (2 Offers)–
GIGABYTE Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TGAMING OC-8GD,$1368.99 (4 Offers)–
GIGABYTE Radeon RX 6700 XT GAMING OC 12G Graphics Card| WINDFORCE 3X Cooling System| 12GB 192-bit GDDR6| GV-R67XTGAMING OC-12GD Video Card,$899.99 (9 Offers)–
ASUS ROG Strix GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card ROG-STRIX-RTX3070TI-O8G-GAMING,$1449.99 (4 Offers)–
ASUS ROG STRIX Radeon RX 6700 XT OC Edition Gaming Graphics Card (AMD RDNA 2| PCIe 4.0| 12GB GDDR6| HDMI 2.1| DisplayPort 1.4a| Axial-tech Fan Design| 2.9-slot| Super Alloy Power II| GPU Tweak II),$1099.99 (9 Offers)–
XFX SPEEDSTER QICK319 AMD Radeon RX 6700 XT BLACK Gaming Graphics Card with 12GB GDDR6| HDMI 3 x DP| AMD RDNA 2,$899.99 (2 Offers)–
GIGABYTE GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 ATX Video Cards GV-N105TD5-4GD,$289.00 (17 Offers)–
GIGABYTE Vision GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TVISION OC-12GD,$1962.49 (4 Offers)–
GIGABYTE AORUS GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX GAMING BOX GV-N308TIXEB-12GD,$1899.99 –
GIGABYTE GeForce GTX 1660 SUPER 6GB GDDR6 PCI Express 3.0 x16 ATX Video Card GV-N166SOC-6GD,$715.85 (7 Offers)–
MSI Ventus GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X 10G OC,$1758.70 (3 Offers)–
GIGABYTE AORUS Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 ATX Video Card GV-R69XTAORUSX WB-16GD,$1899.99 (2 Offers)–
Sapphire NITRO+ AMD RADEON RX 6900 XT SE GAMING OC Graphics Card With 16GB GDDR6 HDMI / TRIPLE DP,$1869.99 (12 Offers)–
GIGABYTE AORUS GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TAORUS M-12GD,$2229.99 (6 Offers)–
ASUS ROG Strix GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card ROG-STRIX-RTX3080-O10G-WHITE,$2017.44 (3 Offers)–
GIGABYTE GeForce RTX 3080 GAMING OC 10GB Video Card| GV-N3080GAMING OC-10GD,$1756.66 (3 Offers)–
GIGABYTE Vision GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080VISION OC-10GD (rev. 2.0),$1711.98 (3 Offers)–
XFX Speedster MERC319 RX 6800 XT Black Edition Gaming Graphics Card with 16GB GDDR6| HDMI 2.1| 2 x DP| USB-C| AMD RDNA 2,$1399.99 (3 Offers)–
GIGABYTE Vision GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TVISION OC-8GD,$1361.99 (5 Offers)–
